id,release_date,movie,production_budget,domestic_gross,worldwide_gross,production_budget_num,domestic_gross_num,worldwide_gross_num,domestic_ratio,worldwide_ratio,profit_num,roi_num,domestic_pct
23,2015-05-22,Tomorrowland,"$170,000,000","$93,436,322","$206,627,518",170000000.0,93436322.0,206627518.0,0.5496254235294118,1.2154559882352942,36627518.0,0.2154559882352941,45.219689470402486
24,2019-02-14,Alita: Battle Angel,"$170,000,000","$85,710,210","$402,976,036",170000000.0,85710210.0,402976036.0,0.5041777058823529,2.3704472705882353,232976036.0,1.3704472705882353,21.269306942113055
25,2019-05-31,Godzilla: King of the Monsters,"$170,000,000","$85,576,941","$299,276,941",170000000.0,85576941.0,299276941.0,0.5033937705882353,1.760452594117647,129276941.0,0.7604525941176471,28.594565526516792
26,2016-05-27,Alice Through the Looking Glass,"$170,000,000","$77,042,381","$276,928,112",170000000.0,77042381.0,276928112.0,0.45319047647058824,1.6289888941176471,106928112.0,0.628988894117647,27.820353969697376
27,2010-05-21,Shrek Forever After,"$165,000,000","$238,736,787","$756,244,673",165000000.0,238736787.0,756244673.0,1.4468896181818183,4.583301048484849,591244673.0,3.5833010484848486,31.568723129372707
28,2016-11-04,Doctor Strange,"$165,000,000","$232,641,920","$676,404,566",165000000.0,232641920.0,676404566.0,1.4099510303030303,4.099421612121212,511404566.0,3.099421612121212,34.39390147463907
29,2014-11-07,Big Hero 6,"$165,000,000","$222,527,828","$652,127,828",165000000.0,222527828.0,652127828.0,1.348653503030303,3.952289866666667,487127828.0,2.952289866666667,34.1233449096118
30,2010-03-26,How to Train Your Dragon,"$165,000,000","$217,581,232","$494,870,992",165000000.0,217581232.0,494870992.0,1.3186741333333334,2.999218133333333,329870992.0,1.9992181333333334,43.967263290308196
31,2012-11-02,Wreck-It Ralph,"$165,000,000","$189,412,677","$496,511,521",165000000.0,189412677.0,496511521.0,1.1479556181818182,3.0091607333333332,331511521.0,2.0091607333333332,38.148697258527456
32,2014-11-05,Interstellar,"$165,000,000","$188,017,894","$666,379,375",165000000.0,188017894.0,666379375.0,1.1395023878787878,4.038662878787878,501379375.0,3.038662878787879,28.214842933876817
33,2016-06-24,Independence Day: Resurgence,"$165,000,000","$103,144,286","$384,169,424",165000000.0,103144286.0,384169424.0,0.6251168848484848,2.328299539393939,219169424.0,1.3282995393939394,26.848645299788355
34,2011-07-29,Cowboys and Aliens,"$163,000,000","$100,368,560","$176,038,324",163000000.0,100368560.0,176038324.0,0.615758036809816,1.079989717791411,13038324.0,0.07998971779141105,57.01517585454858
35,2017-03-17,Beauty and the Beast,"$160,000,000","$504,014,165","$1,259,199,706",160000000.0,504014165.0,1259199706.0,3.15008853125,7.8699981625,1099199706.0,6.8699981625,40.02654722665572
36,2018-12-21,Aquaman,"$160,000,000","$335,061,807","$1,146,894,640",160000000.0,335061807.0,1146894640.0,2.09413629375,7.1680915,986894640.0,6.1680915,29.21469813478246
